,Ag,Arterials & Suburban Corridors,Developing,Established Communities,Rural & Small Town Main Street,Rural Residential,Small-Town Established Communities,Urban core,REGION,year
transit_emp,2587.197021484375,112275.59375,8583.2177734375,52707.1953125,16162.8359375,2083.630126953125,7388.36767578125,250397.078125,48924.60546875,2016
bike_emp,1410.8564453125,26973.68359375,4819.60888671875,15838.8232421875,7095.86279296875,1415.9825439453125,3329.611328125,103501.0859375,15455.314453125,2016
walk_emp,167.04330444335938,4708.41943359375,498.99737548828125,2539.327392578125,2551.112548828125,180.2967987060547,941.2069702148438,33516.59765625,2902.095703125,2016
drive_emp,82855.578125,250798.796875,126834.453125,196681.203125,86515.9765625,72048.484375,67247.0546875,387242.875,185172.1875,2016
transit_nonwork,0.6954016089439392,38.27328872680664,2.0770463943481445,18.900436401367188,15.089303016662598,0.9954096674919128,6.495460510253906,103.39583587646484,17.302223205566406,2016
bike_nonwork,5.724783897399902,85.82740020751953,16.406509399414062,58.011199951171875,32.39021682739258,6.860207557678223,19.212242126464844,205.90576171875,51.40116882324219,2016
walk_nonwork,0.9924641847610474,21.316591262817383,2.900556802749634,13.735503196716309,12.513810157775879,1.5301461219787598,6.725173473358154,60.13149642944336,12.242219924926758,2016
drive_nonwork,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2016
transit_edu,0.6599240899085999,27.650354385375977,1.643090009689331,14.320537567138672,12.776569366455078,0.788496732711792,4.308403015136719,61.087162017822266,12.684937477111816,2016
bike_edu,1.4928648471832275,19.132123947143555,4.297016143798828,13.96692180633545,10.007037162780762,1.874367594718933,4.724560260772705,36.5091552734375,12.026022911071777,2016
walk_edu,0.2606056332588196,4.2547197341918945,0.7923728227615356,3.209117889404297,3.6123135089874268,0.42927950620651245,1.7157386541366577,8.39937973022461,2.7031493186950684,2016
drive_edu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2016
TOT_COLLISNS_fwy,1430.0,2637.0,281.0,6466.0,94.0,511.0,438.0,1186.0,13062.0,2016
TOT_COLLISNS_PER_100MVMT_fwy,17.337775328164657,39.85566577368779,16.609427611094905,33.5562240969377,42.99753498425364,16.709744489111866,35.62301560537371,70.11191675469324,30.875219270456594,2016
FATAL_COLLISNS_fwy,68.0,41.0,4.0,120.0,0.0,20.0,17.0,17.0,289.0,2016
FATAL_COLLISNS_PER_100MVMT_fwy,0.824453651968669,0.6196747427839209,0.23643313325402,0.6227570200483334,0.0,0.6540017412568244,1.3826284595692993,1.004976884342146,0.6831219085256434,2016
PCT_FATAL_COLLISNS_fwy,0.04755244755244755,0.015547971179370497,0.014234875444839857,0.018558614290133002,0.0,0.03913894324853229,0.03881278538812786,0.01433389544688027,0.022125248813351706,2016
BIKEPED_COLLISNS_fwy,19.0,80.0,5.0,125.0,7.0,5.0,12.0,16.0,270.0,2016
BIKEPED_COLLISNS_PER_CLMILE_fwy,0.012635568943188997,0.2533091155444095,0.02318567268281977,0.07246589623391389,0.19746166453464462,0.007359593286270854,0.0881307459223328,0.3955616665957592,0.05780982789846035,2016
PCT_BIKEPED_COLLISNS_fwy,0.013286713286713287,0.030337504740235114,0.017793594306049824,0.01933188988555521,0.07446808510638298,0.009784735812133072,0.0273972602739726,0.013490725126475547,0.02067064768029398,2016
TOT_COLLISNS_nonfwy,4181.0,9208.0,1113.0,25212.0,443.0,2635.0,1155.0,1970.0,46097.0,2016
TOT_COLLISNS_PER_100MVMT_nonfwy,67.12315135348008,138.4313257938392,73.237565905463,106.72468103307389,98.47610129149766,82.84918825488047,94.61333261556649,146.54321877279676,103.54717784004195,2016
FATAL_COLLISNS_nonfwy,208.0,153.0,35.0,387.0,8.0,99.0,33.0,10.0,934.0,2016
FATAL_COLLISNS_PER_100MVMT_nonfwy,3.339300521770834,2.3001729850627064,2.3030681102346855,1.638206074877027,1.778349458988671,3.112739900278241,2.7032380747304714,0.7438742069685116,2.0980338005206236,2016
PCT_FATAL_COLLISNS_nonfwy,0.049748863908155944,0.01661598609904431,0.031446540880503145,0.01534983341266064,0.018058690744920995,0.03757115749525617,0.02857142857142857,0.005076142131979695,0.020261622231381653,2016
BIKEPED_COLLISNS_nonfwy,128.0,1788.0,94.0,3786.0,108.0,79.0,183.0,558.0,6745.0,2016
BIKEPED_COLLISNS_PER_CLMILE_nonfwy,0.08512383288043114,5.661458732417552,0.43589064643701164,2.194847065132784,3.0465513956773744,0.11628157392307949,1.3439938753155753,13.795213122527102,1.4441751450930187,2016
PCT_BIKEPED_COLLISNS_nonfwy,0.03061468548194212,0.19417897480451782,0.08445642407906559,0.1501665873393622,0.24379232505643342,0.029981024667931688,0.15844155844155844,0.283248730964467,0.14632188645681932,2016
mix_index,0.44446908415891523,0.42466592552602606,0.4871694649051435,0.7448253620001775,0.29230477690197315,0.35447257463142035,0.6262206970088009,0.22767566428252098,0.9999891200962329,2016
Intersxn_34_per_acre,0.0012635001782388617,0.153917417859906,0.03865816755038363,0.12974685286218257,0.10226242843155103,0.011158853559660011,0.06693121305020439,0.31913489491574404,0.016717749096014714,2016
pct_roadmi_bikeways,0.008099201236299326,0.08344347370262256,0.04276525611848887,0.07057987398053184,0.10723815507037317,0.005047618111362422,0.03753717504026061,0.10589950068147448,0.04080486343020588,2016
TrnVehStop_Acre,0.00011381943754383134,1.1002224705884518,0.008111983463185002,0.30569989414045007,1.6313842396302616,0.0012901011750183434,0.05428628594241537,5.068312193293307,0.04215632210623936,2016
Pct_PopEJArea,0.24178872418240605,0.6769243115151858,0.24228819695872555,0.3679790090112011,0.8339279922153746,0.05137670556252925,0.34730153421679694,0.5619245097350108,0.3746385676273582,2016
EMPIND_jobshare,0.4574722217703232,0.09335777108616199,0.22868241326550168,0.16420091105022622,0.023374670401350904,0.15199224319501192,0.13438717051823976,0.016589955364791263,0.13021497769288948,2016
DU_TOT_NetPclAcre,0.007873563103240241,2.9540914409409633,0.044180317981289324,2.2921260183022105,0.902785049202046,0.10716694430838138,0.812896033109884,11.57784532965269,0.18979411874096605,2016
EMPTOT_NetPclAcre,0.004621128694124761,7.2950228161809525,0.018562933847445565,1.8110844872821283,5.616921752527066,0.02267014356785282,0.6303149158287834,64.91887350558464,0.19527333882297354,2016
mix_index,0.46000420823821486,0.468783416884592,0.5103271660601649,0.7395300212146015,0.39676363663194636,0.3824508127814134,0.6582471312842739,0.35973431030552794,0.9308534957530481,2040
